Sport,Name,sport_name,Time,TSS,Swim_ind,Bike_ind,Run_ind,Recovery_ind,Elite_ind,Prep_ind,Base 1_ind,Base 2_ind,Base 3_ind,Build 1_ind,Build 2_ind,Peak_ind,E_ind,S_ind,M_Ind,P_ind,F_ind,A_ind
Swim,E2.6lt,SwimE2,24.5,26.5,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0
Swim,E3.1lt,SwimE3,15,17.5,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Swim,E3.2lt,SwimE3,16,17,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Swim,E3.3lt,SwimE3,16,21.5,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Swim,E3.4lt,SwimE3,17,22,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Swim,E3.5lt,SwimE3,21,27.5,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Swim,E3.6lt,SwimE3,29,38,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Swim,F1.1lt,SwimF1,18,17,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
Swim,F1.2lt,SwimF1,23.5,23,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
Swim,F1.3lt,SwimF1,17.5,18.5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
Swim,F1.4lt,SwimF1,25,27.5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0
Swim,M1.1lt,SwimM1,19,18,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,M1.3lt,SwimM1,28.25,30.5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,M1.4lt,SwimM1,24.1,26.5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,M1.5lt,SwimM1,23.25,25,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,M1.6lt,SwimM1,17.25,18.5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,M1.7lt,SwimM1,23.5,24.5,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,M1.8lt,SwimM1,27,27,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0
Swim,S1.1lt,SwimS1,13.5,13,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Swim,S1.2lt,SwimS1,17,17.5,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Swim,S1.3lt,SwimS1,25,22,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0
Bike,E2.01Elt,BikeE2,45,31.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.02Elt,BikeE2,52.5,37,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.03Elt,BikeE2,60,42.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.04Elt,BikeE2,67.5,47.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.05Elt,BikeE2,75,53,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.11Elt,BikeE2,60,38.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.12Elt,BikeE2,67.5,44,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.13Elt,BikeE2,75,49,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.14Elt,BikeE2,90,59.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.15Elt,BikeE2,105,70.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.16Elt,BikeE2,120,81,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.17Elt,BikeE2,135,91.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.21Elt,BikeE2,45,30,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.22Elt,BikeE2,50,33.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.23Elt,BikeE2,60,41.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.24Elt,BikeE2,70,48,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.25Elt,BikeE2,80,55.5,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E2.26Elt,BikeE2,90,62,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bike,E3.01Elt,BikeE3,35,28.5,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.02Elt,BikeE3,40,34,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.03Elt,BikeE3,45,38,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.04Elt,BikeE3,52.5,45.5,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.05Elt,BikeE3,50,44,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.06Elt,BikeE3,60,54.5,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.07Elt,BikeE3,42.5,37.5,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.08Elt,BikeE3,47.5,42.5,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.09Elt,BikeE3,55,50,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,E3.10Elt,BikeE3,62.5,58,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
Bike,F2.01Elt,BikeF2,38,28.5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,F2.02Elt,BikeF2,42,33,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,F2.03Elt,BikeF2,44,34,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,F2.04Elt,BikeF2,49,39,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,F2.05Elt,BikeF2,54,44.5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,F2.06Elt,BikeF2,38,26,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,F2.07Elt,BikeF2,38,23.5,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
Bike,M2.1Elt,BikeM2,41,39.5,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.2Elt,BikeM2,47.5,46.5,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.3Elt,BikeM2,45,45,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.4Elt,BikeM2,52.5,53.5,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.5Elt,BikeM2,49,50.5,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M2.6Elt,BikeM2,57.5,60,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0
Bike,M4.1Elt,BikeM4,35,37,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.2Elt,BikeM4,39.5,43.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.3Elt,BikeM4,43,48.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.4Elt,BikeM4,47,55.5,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,M4.5Elt,BikeM4,62,74,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0
Bike,S1.01Elt,BikeS1,31.5,19.5,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
Bike,S1.02Elt,BikeS1,33.5,21.5,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0
